2023-11-28-12-31-18_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.161
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-28-12-31-18_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-5. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-6. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-7. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-8. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-9. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-10. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-11. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-11. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-12. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-12. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-13. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-13. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-14. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-14. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-15. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-15. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-15. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-16. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-16. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-16. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-17. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-17. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-17. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-18. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-18. Updated: Record is updated...! - 28-11-2023 12:31pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
