2023-12-21-15-21-08_hotel-import-format-2-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.125
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-21-15-21-08_hotel-import-format-2-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Invalid Weekend name...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Hotel Chain does not exits...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Failed: Invalid duration from 10-10-2023 to 01-01-1970, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Invalid Weekend name...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Hotel Chain does not exits...! - 21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Failed: Invalid duration from 12-10-2023 to 01-01-1970, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Total Records List. - 3 - Success Entry(0 ), Failed Entry(2), Duplicate Entry(0)_21-12-2023 03:21pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
