2023-12-21-15-06-44_hotel-import-format-2-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.125
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-21-15-06-44_hotel-import-format-2-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Invalid Weekend name...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Hotel Chain does not exits...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Failed: Room Type does not exist.! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Invalid Weekend name...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Hotel Chain does not exits...! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Failed: Room Type does not exist.! - 21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Total Records List. - 3 - Success Entry(0), Failed Entry(2), Updated Entry(0)_21-12-2023 03:06pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
