2023-12-21-16-05-51_hotel-import-format-3-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.125
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-21-16-05-51_hotel-import-format-3-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-1. Updated: Record is updated...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-2. Updated: Record is updated...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-3. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-3. Updated: Record is updated...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Row No-4. Warning: Hotel Type Keyword does not exists...! - 21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
Total Records List. - 4 - Success Entry(1 ), Failed Entry(0), Duplicate Entry(3)_21-12-2023 04:05pm, Added by- Bhanu Pratap, IP Address- 122.161.50.125
