2023-11-29-12-44-21_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.48.74
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-29-12-44-21_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-4. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-4. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-4. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-5. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-5. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-5. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-6. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-6. Failed: Room GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-6. Failed: Meal GST is not valid...! - 29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Total Records List. - 6 - Success Entry(0), Failed Entry(6), Updated Entry(0)_29-11-2023 12:44pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
