2023-11-28-12-13-56_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.161
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-28-12-13-56_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Error: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Warning: City does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Room GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Meal GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-1. Failed: Hotel Destination does not exist...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Error: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Warning: City does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Room GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Meal GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-2. Failed: Hotel Destination does not exist...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Error: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Warning: City does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Room GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Meal GST is not valid...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-3. Failed: Hotel Destination does not exist...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: Hotel Type Keyword does not exists...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Error: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Warning: City does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
Row No-4. Failed: Destination does not exits...! - 28-11-2023 12:13pm, Added by- Bhanu Pratap, IP Address- 122.161.50.161
