2023-12-04-17-24-04_activity-import-format-1-xls, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-56. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-57. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-58. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-59. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-60. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-61. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-62. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-63. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-64. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-65. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-66. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-67. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-68. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-69. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-70. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-72. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-73. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-74. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-75. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-76. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-77. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-84. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-85. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-86. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-87. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-88. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-89. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-96. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-97. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-98. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-99. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-100. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-101. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-102. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-103. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-104. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-105. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-106. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-107. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-108. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-109. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-110. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-111. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-112. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-113. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-114. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-115. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-116. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-117. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-118. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-119. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-121. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-122. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-123. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-124. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-125. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-126. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-127. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-128. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-129. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-130. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-131. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-132. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-133. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-134. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-135. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-136. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-137. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-138. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-139. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-140. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-141. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-142. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-143. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-144. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-145. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-146. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-147. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-148. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-149. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-150. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-151. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-152. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-153. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-155. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-156. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-157. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-158. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
Row No-159. Failed: Currency -  not exist...! - 04-12-2023 05:24pm, Added by- Bhanu Pratap, IP Address- 122.161.52.28
