2023-11-29-14-56-11_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.48.74
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-29-14-56-11_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Warning: State does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Warning: City does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Failed: Room GST is not valid...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1. Failed: Meal GST is not valid...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1.  Failed: Hotel Category keyword does not exist...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-1.  Failed: Market Type does not exist...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Warning: State does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Warning: City does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Failed: Room GST is not valid...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2. Failed: Meal GST is not valid...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-2.  Failed: Market Type does not exist...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Warning: Hotel Type Keyword does not exists...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Warning: State does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Warning: City does not exits...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
Row No-3. Failed: Room GST is not valid...! - 29-11-2023 02:56pm, Added by- Bhanu Pratap, IP Address- 122.161.48.74
