2023-11-30-10-24-40_hotel-import-format-7-xls, Added by- Bhanu Pratap, IP Address- 122.161.49.96
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-11-30-10-24-40_hotel-import-format-7-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Warning: Hotel Type Keyword does not exists...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Warning: State does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Warning: City does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Failed: Room GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1. Failed: Meal GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-1.  Failed: Hotel Category keyword does not exist...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Warning: Hotel Type Keyword does not exists...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Warning: State does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Warning: City does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Failed: Room GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2. Failed: Meal GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-2.  Failed: Hotel Category keyword does not exist...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Warning: Hotel Type Keyword does not exists...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Warning: State does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Warning: City does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Failed: Room GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3. Failed: Meal GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-3.  Failed: Hotel Category keyword does not exist...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Warning: Hotel Type Keyword does not exists...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Warning: State does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Warning: City does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Failed: Room GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4. Failed: Meal GST is not valid...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-4.  Failed: Hotel Category keyword does not exist...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-5. Warning: Hotel Type Keyword does not exists...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-5. Warning: State does not exits...! - 30-11-2023 10:24am, Added by- Bhanu Pratap, IP Address- 122.161.49.96
