Copy of Chanoud Garh1.xls, Added by- Administrator CRM, IP Address- ::1
http://localhost/FD_Branche1.5/TravCRMInBound/travcrm-dev/importfile/Copy of Chanoud Garh1.xls Copy this link to download file , Added by- Administrator CRM, IP Address- ::1
Row No-1. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-1.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-2. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-2.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-3. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-3.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-4. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-4.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-5. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-5.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-6. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-6.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-7. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-7.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-8. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-8.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-9. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-9.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-10. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-10.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-11. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-11.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-12. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-12.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-13. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-13.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-14. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-14.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-15. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-15.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-16. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-16.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-17. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-17.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-18. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-18.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-19. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-19.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-20. Warning: Hotel Type Keyword does not exists...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Row No-20.  Failed: Market Type does not exist...! - 18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
Total Records List. - 20 - Success Entry(0), Failed Entry(20), Updated Entry(0)_18-11-2021 04:42pm, Added by- Administrator CRM, IP Address- ::1
