2023-12-01-15-32-36_transfer-import-format-13-xls, Added by- Bhanu Pratap, IP Address- 122.161.50.197
https://travcrm.in/travcrm_outbound_3.2_dev/importfile/2023-12-01-15-32-36_transfer-import-format-13-xls.xls Copy this link to download file , Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-0. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-1. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-2. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-3. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-4. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-5. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-6. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-7. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Row No-8. Failed -  doesnt exist...! - 01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
Import Status. - 9 (Total Records) - Success(0), Failed(9), Updated(0), _01-12-2023 03:32pm, Added by- Bhanu Pratap, IP Address- 122.161.50.197
