2023-11-30-13-08-58_transfer-import-format-12-xls, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-49. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-50. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-51. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-52. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-53. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-54. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-55. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-56. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-57. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-58. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-59. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-60. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-61. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-62. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-63. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-64. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-65. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-66. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-67. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-68. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-69. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-70. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-71. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-72. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-73. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-74. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-75. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-76. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-77. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-78. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-79. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-80. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-81. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-82. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-83. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-84. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-85. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-86. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-87. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-88. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-89. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-90. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-91. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-92. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-93. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-94. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-95. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
Row No-96. Failed -  doesnt exist...! - 30-11-2023 01:08pm, Added by- Bhanu Pratap, IP Address- 122.161.49.96
