Table - cruiseCompanyMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - cruisecostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - cruiseMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - cruiseTypeMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - currencyconversionMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - currencyMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - decorMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - departmentMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - designationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - destinationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dialog_box_package_request truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - diningareaMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcentranceRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcGuidePorterRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmchotel truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcotherActivityRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcPaymentRequest truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcpaymentRequestPayment truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcRestaurantsMealPlanRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcroomTariff truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmcsightseeingRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - dmctransferRate truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentAttachmentMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - documentCategoryMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - driverMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - emailMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - emailtemplateMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - email_section_management truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - employeeManagementMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - employeeSalary truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - expensesMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - expensesPayment truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - extraQuotation truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalquotationItinerary truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuote truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteActivity truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteEnroute truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteEntrance truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteExtra truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteFlights truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteGuides truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteInsurence truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteMealPlan truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuoteTrains truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuotetransfer truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - finalQuotSupplierStatus truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Error truncating table miceSupplierFinalQuote: Table 'travcrm_Outbound_3.2_2.miceSupplierFinalQuote' doesn't exist, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - fleetMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - flightcostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - flightMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - forexcostMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - groupDiscountmaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - gstMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - guestList truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - guestListDocuments truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
Table - holidayConfigurationMaster truncated successfully, Added by- Administrator CRM, IP Address- 152.58.74.149
